0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.6507335184,0.0520405103,0.7669410985,0.8898028336,0.0858382853,0.6046751817,0.9210565067,0.9490568154,0.1784655601,0.4335161718,0.7640117616,0.9291607719,0.9732346791,0.4243309111,0.1188786738,0.6550656143,0.7349084723,0.2730094269,0.7881313358,0.2418189202,0.6606028257,0.8522481699,0.4294060152,0.8779481305,0.4699235307,0.1000169129,0.5642792117,0.4500170159,0.1732581928,0.1467335471,0.2233246393,0.8239917117,0.1987740579,0.9902657382,0.7137945453,0.2846123432,0.5949409199,0.6348510524,0.2336691585,0.77340648,0.0683672242,0.9976809202,0.7025672519,0.0416019033,0.4220118313,0.8214459261,0.6966675175,0.1569203036,0.094455353,0.4847988533,0.3987392238,0.7550581787,0.3370470237,0.828145239,0.6330063096,0.8069705544,0.9281621524,0.1972855213,0.2569875703,0.1014203453,0.3440190684,0.48031221,0.925412057,0.5427931263,0.4705779483,0.6392066027,0.8274054695,0.0655188682,0.2740576551,0.061074628,0.8389253486,0.3424248793,0.0587555482,0.5414926005,0.3840267831,0.4807673795,0.3629385266,0.0806943006,0.6376876836,0.45739388,0.5654931543,0.0364269074,0.2124520587,0.902540178,0.8645721469,0.8454583683,0.7095107324,0.7927342993,0.0427438896,0.9664983028,0.8941546446,0.3867629585,0.4468105128,0.819566702,0.9295560848,0.9173884611,0.4587733047,0.7569615548,0.9829073297,0.7328309598
2,0.8218326783,0.0752558392,0.8767917315,0.3633252787,0.4592826222,0.357559111,0.7262638058,0.5399769233,0.9952467945,0.1836576858,0.1054700776,0.0316737024,0.3961097444,0.0080102556,0.8962458493,0.2415681132,0.7175209881,0.6889801486,0.2843120028,0.6840192908,0.5831347932,0.6710749613,0.1308298041,0.4027014952,0.6006310466,0.0482182652,0.8614747999,0.3575926013,0.0311255949,0.5943057598,0.1756287841,0.8529582731,0.6695615994,0.0524205156,0.2162835523,0.1288442216,0.409979627,0.9425473581,0.6688211448,0.4052264215,0.1262050439,0.7742912224,0.436900124,0.5223147883,0.7823014781,0.3331459733,0.7638829015,0.4998224662,0.0221261219,0.0481949048,0.1838417575,0.6052609156,0.7192698661,0.3146715616,0.0079624108,0.3199009127,0.3628898268,0.8694372112,0.677493514,0.3940154221,0.463742971,0.8531222986,0.2469736952,0.1333045703,0.9055428142,0.4632572476,0.2621487924,0.3155224412,0.4058046057,0.9309699372,0.7207488632,0.5320096496,0.7052611602,0.1576489871,0.0543244383,0.4875626382,0.4907949609,0.8182073398,0.9873851049,0.5129210828,0.8664022447,0.1712268624,0.1181819984,0.5856721113,0.4858984239,0.1261444096,0.9055730239,0.8487882507,0.9955816208,0.5830665384,0.2428036728,0.4593245918,0.436188837,0.4897773685,0.5926291626,0.3417316512,0.9530346161,0.854777955,0.6572540929,0.3588392222
3,0.378002956,0.8908488718,0.4910090524,0.5356519432,0.9451733101,0.9785716911,0.0264469041,0.7633806504,0.965956796,0.5393679873,0.6297828951,0.1371836583,0.6575499857,0.2154550063,0.6230820823,0.7836943953,0.1210280308,0.471870333,0.7792760162,0.7040945692,0.7146740062,0.2386006084,0.1402834062,0.2044513747,0.831229771,0.4820150575,0.1574859908,0.686007726,0.1392691503,0.516325213,0.4717556182,0.5172721064,0.4071740853,0.9627646711,0.05292405,0.3523473954,0.9413363622,0.0793709541,0.1157280458,0.9072931581,0.6187389414,0.7455109414,0.0444768164,0.2762889275,0.9609659477,0.6675588987,0.0599833229,0.0819939785,0.1394292316,0.8392593395,0.7860885477,0.8541032379,0.0778599479,0.9263719539,0.0585546126,0.9090897189,0.4083870118,0.2160406038,0.595097445,0.5476561622,0.7323658168,0.0668530632,0.064928269,0.1395399021,0.0296177343,0.117852319,0.4918872979,0.9709540964,0.1972232731,0.6076153438,0.8782472545,0.815962215,0.3531262851,0.922724071,0.0922511425,0.3140922333,0.5902829696,0.1522344653,0.3960862118,0.7297122017,0.9914938048,0.1821747599,0.5838154396,0.0693537528,0.1085467138,0.6423700526,0.9784434717,0.5169337257,0.8584106565,0.5735409167,0.0645898883,0.5907764733,0.6403939803,0.1295181573,0.7303163758,0.6700117146,0.2473704764,0.2222036738,0.6409658114,0.4445937495
4,0.519213066,0.2605559644,0.1829453032,0.4419371374,0.3528071069,0.4970375365,0.032220107,0.5050415727,0.8931237482,0.7619323088,0.4965353776,0.0752985082,0.3457477489,0.5658891308,0.1838452225,0.9881178015,0.5443326025,0.7007789481,0.8465284579,0.1178735197,0.7653688365,0.4373049312,0.7582675,0.8948869938,0.1676213071,0.4282792145,0.1422574702,0.3898249809,0.069245026,0.5868512201,0.2196439989,0.5884580924,0.8474071845,0.402589302,0.0303952298,0.2002142919,0.8996268385,0.0626153369,0.7052558647,0.7927505868,0.8245476461,0.2017912422,0.8680490954,0.170295395,0.767680373,0.0518943178,0.1584131964,0.312012976,0.752673266,0.0049416544,0.4298864957,0.5180421029,0.4422465856,0.1881539957,0.4129290967,0.6098678932,0.6164332102,0.5551865674,0.999692874,0.6856782367,0.1420377875,0.2193368729,0.2741363291,0.989444972,0.621926175,0.3045315589,0.1896592639,0.5215530135,0.3671468957,0.8949151286,0.3143036007,0.1916945418,0.0967063713,0.1823526961,0.3619899368,0.8643867443,0.2342470139,0.5204031332,0.1763997204,0.9869202799,0.5253447876,0.6062862161,0.5049623828,0.9675913737,0.7944402117,0.91789148,0.5774592669,0.4108734224,0.4730780474,0.5771521409,0.0965516591,0.6151158349,0.7964890143,0.3706879881,0.6045608069,0.4184151893,0.675219547,0.7942200713,0.9399682032,0.0423664427
5,0.2542718039,0.234060985,0.7858415712,0.4366245,0.5960509218,0.650228316,0.6708715139,0.1164540555,0.8266280363,0.6577917938,0.6417988432,0.4329142529,0.1627541771,0.6093902169,0.2273544646,0.0806456571,0.1868494838,0.638227887,0.5537237045,0.7640016251,0.734779546,0.1688395394,0.5604906394,0.1054675342,0.7734003463,0.9789058287,0.7806870812,0.5676204176,0.9188740319,0.8230535244,0.2567556179,0.1731458358,0.0571145094,0.0425971891,0.6097703357,0.6531654312,0.692825505,0.2806418496,0.7696194868,0.5194535418,0.9384336439,0.4114183304,0.9523677947,0.101187821,0.0208085473,0.1797222593,0.1818334782,0.2076580315,0.8179501467,0.7355571827,0.9716596566,0.5527296928,0.9043967221,0.532150296,0.6581972274,0.6777970684,0.5110561247,0.4388843086,0.2454174864,0.429930157,0.2619378329,0.5021731043,0.6030759928,0.3190523423,0.5447702934,0.212846329,0.972217774,0.2375957989,0.4934881786,0.7418372608,0.7570493408,0.4319218225,0.1532555912,0.7094171355,0.5331096435,0.1740641389,0.8891393947,0.7149431217,0.3817221704,0.7070895415,0.4505003043,0.353381827,0.2598192347,0.3548970264,0.885532123,0.9180164621,0.0326940953,0.3965882477,0.3569007707,0.2781115817,0.8265184048,0.6188386041,0.780284686,0.429594398,0.9378909464,0.3250549794,0.642440727,0.9101087204,0.5626507783,0.1359289056
6,0.3197001191,0.5678507285,0.8052015728,0.0291172545,0.100960372,0.9792657117,0.9182566497,0.8159034941,0.3609878821,0.6253461912,0.2664037985,0.7143697091,0.8851654259,0.6213008254,0.5999018322,0.8031818881,0.6539949207,0.9964900804,0.1600826592,0.9321065024,0.8230084851,0.7789212633,0.7123911884,0.2526028831,0.7168122097,0.0374461678,0.8950436101,0.6269209306,0.6000969466,0.0309725162,0.2788669122,0.9197970657,0.5988232447,0.0840684851,0.9489143207,0.6997836167,0.0633341973,0.8671709704,0.5156871108,0.4243220794,0.4925171616,0.7820909098,0.138691789,0.3776825881,0.4033917352,0.7385936212,0.1808644761,0.0573866558,0.7350837016,0.3409471354,0.9894931582,0.5580921872,0.1198683986,0.7018843465,0.8106950703,0.8366806088,0.7393305143,0.7057386809,0.4636015394,0.3394274609,0.7367111971,0.7424684516,0.259224527,0.3355344418,0.8265369367,0.2081388477,0.0353180584,0.889871134,0.0753098181,0.5510051697,0.3141932138,0.5678269798,0.3330960795,0.4528850028,0.9455095679,0.7364878147,0.191478624,0.1263740445,0.7938744705,0.926562326,0.4673211798,0.7833676287,0.4846545132,0.5871895789,0.4852519752,0.2953495835,0.4238701877,0.2245824896,0.0010882644,0.8874717271,0.564009951,0.7377994615,0.6299401787,0.823234478,0.0733339032,0.4564771154,0.0313733257,0.1086519621,0.3463482498,0.1066831439
7,0.6605414636,0.6745101237,0.9927532114,0.1134264665,0.620019692,0.7292410261,0.3049050905,0.7463937365,0.5231154966,0.2314674165,0.2137149163,0.3064831253,0.7161219297,0.8009044952,0.7917351006,0.0114715137,0.2247746829,0.0163175901,0.0125597781,0.11224641,0.5803275411,0.75035924,0.7421865887,0.4035620191,0.8236931432,0.1986637046,0.4349353448,0.9323451053,0.5450119544,0.5416184887,0.5920022372,0.205553418,0.2161286129,0.5847554486,0.3189798845,0.8361483049,0.3139964747,0.623884975,0.5825420413,0.8371119713,0.855352392,0.7962569576,0.1435950967,0.5714743217,0.5971614532,0.9353301972,0.5829458353,0.8219361361,0.9516477878,0.5955056138,0.9341825466,0.5319753289,0.3458648538,0.6763691353,0.9355373485,0.169557997,0.8750328398,0.3704726934,0.1019031028,0.4200447942,0.9120911825,0.69390534,0.6255982122,0.1282197954,0.2786607891,0.9445780967,0.9643681003,0.5926572639,0.5684630722,0.5469101416,0.4297692357,0.4238154641,0.3431670992,0.5733643323,0.9952897858,0.9403285524,0.50869453,0.5782356216,0.762264689,0.4603423178,0.1737412354,0.6964472355,0.9923176467,0.5196060892,0.3728163708,0.9278549952,0.6891640862,0.2478492111,0.2983276891,0.7910671891,0.6678940053,0.2104188716,0.4849725296,0.293492218,0.338638667,0.7636333187,0.2380703148,0.3030067673,0.3562905826,0.8065333869
8,0.7860598182,0.2303488511,0.1930840081,0.359424151,0.2256386373,0.1334125609,0.868118681,0.8038742589,0.8956772499,0.3284609988,0.9776154943,0.5921244854,0.3207786456,0.4972215835,0.9649408562,0.2486336413,0.1863856697,0.2127900673,0.5469613303,0.9774528593,0.8806840731,0.7573802019,0.4624253889,0.1741762911,0.096018869,0.2260587076,0.4122466058,0.3990256363,0.5823492901,0.2187799932,0.2489425451,0.3684091088,0.4491288443,0.4420265532,0.7278332599,0.6747674816,0.5754391141,0.5959519409,0.4786417405,0.471116364,0.9244129397,0.4562572348,0.0632408494,0.2451915853,0.9534788183,0.0281817061,0.4938252266,0.1398644885,0.2409717734,0.0407865569,0.1173173478,0.1216558465,0.7981667588,0.5797427366,0.2958321376,0.8941856278,0.8058014442,0.7080787439,0.2932112641,0.3881507344,0.9268587371,0.5421538092,0.7565598432,0.3759875814,0.9841803629,0.484393103,0.0507550635,0.559619477,0.0803450439,0.529396804,0.0307358415,0.0047579836,0.9856540393,0.0939766909,0.2499495693,0.9391328576,0.122158397,0.7437747959,0.0789973461,0.3631301709,0.7845613533,0.1963146939,0.4847860173,0.5827281121,0.7760574305,0.7806181554,0.4769137404,0.5818588748,0.4886968993,0.7701250045,0.9700096096,0.4155556364,0.3122788141,0.7265694528,0.7915432178,0.296459177,0.2109625563,0.8422982814,0.8560786541,0.2913076002
9,0.8868144955,0.2960655843,0.3573491252,0.9807911869,0.5460151536,0.2964819828,0.1029495839,0.2897899495,0.3754793294,0.4660797548,0.0743513028,0.5717940233,0.9508657726,0.6570794154,0.3478514543,0.7314839279,0.1339931558,0.929710329,0.2201808272,0.9041181603,0.8997199386,0.6357364636,0.2163969744,0.6262893919,0.4272796814,0.5128561514,0.8372519482,0.2695779633,0.368934806,0.1285595484,0.6412730492,0.2557493015,0.4246251327,0.9986221744,0.2365404884,0.9706402863,0.2951041572,0.3394900728,0.2604302363,0.6705834866,0.8055698276,0.3347815392,0.2423775103,0.7564356001,0.9918609546,0.5902289646,0.487919528,0.1258541103,0.5199392936,0.7081003552,0.0299722711,0.4196592327,0.3438368188,0.2463692455,0.0459486246,0.7711165007,0.7592253974,0.8832005728,0.040694464,0.1281602033,0.0117601212,0.6819675132,0.3839095049,0.4363852544,0.6805896875,0.6204499938,0.4070255407,0.9756938447,0.9599400666,0.6674557771,0.6462773317,0.7655098941,0.0022373167,0.888654842,0.5219454947,0.9940982712,0.4788838066,0.0098650227,0.1199523821,0.9988231002,0.7179653784,0.1499246531,0.418482333,0.0618021972,0.3962938986,0.4644309576,0.832918698,0.1555192959,0.3476315304,0.873613162,0.2836794993,0.359391652,0.5555806751,0.6675890046,0.7957769064,0.2361703627,0.2880389984,0.2028024471,0.2118642079,0.2479790649
10,0.8581415396,0.0134889591,0.8724955413,0.7467963817,0.5354344537,0.8665938126,0.2256801883,0.5452994769,0.9865461946,0.2245032885,0.2632648554,0.1364708478,0.6429856219,0.3250670526,0.5327647468,0.1074165795,0.1579857511,0.6882840428,0.4550481103,0.031598913,0.9719635425,0.8144397624,0.5871795886,0.6395525471,0.6102166688,0.8233499513,0.9275915455,0.8130191159,0.0352141592,0.1755706104,0.6832773406,0.8933556988,0.1890595695,0.555772882,0.6401520805,0.7244940237,0.422366695,0.8658322687,0.2697935007,0.4089128897,0.0903355577,0.533058356,0.5453837379,0.7333211796,0.8581254086,0.0781484847,0.8407377591,0.0161111597,0.7664325275,0.2957858695,0.0477100732,0.73839607,0.1102256319,0.6348896618,0.3779486171,0.7204423007,0.4582396131,0.3055401626,0.5334614171,0.4934537727,0.481110773,0.2167387577,0.3868094715,0.670170343,0.7725116401,0.0269615524,0.3946643667,0.1948783351,0.8927938212,0.6644578674,0.6037912248,0.9831293789,0.1975162234,0.1491749627,0.7164505585,0.0556416321,0.2273234474,0.5571883181,0.0717527922,0.9937559753,0.8529741876,0.1194628654,0.7321520452,0.9631998199,0.7543525272,0.1101006628,0.6836421206,0.2125921403,0.4156408254,0.2171035376,0.706045913,0.8967515989,0.4338422958,0.092855385,0.5669219419,0.2063539359,0.1198169375,0.9615863087,0.401232271,0.0126107587
